Date,Name,Category,Type,Amount,DayOfWeek,IsWeekend,CategoryEncoded,TypeEncoded,Cluster
2024-03-14,Coffee hạt Hoof,Cà phê,Phải chi (Must have),150000,3.0,0,0,2,0
2024-03-14,Đổ xăng,Đi lại,Phải chi (Must have),50000,3.0,0,10,2,0
2024-03-14,Trái cây,Thực phẩm,Phát sinh (Nice to have),95000,3.0,0,8,1,1
2024-03-15,Bắp trái,Thực phẩm,Phát sinh (Nice to have),15000,4.0,0,8,1,1
2024-03-15,Ăn sáng bún,Thực phẩm,Phải chi (Must have),33000,4.0,0,8,2,0
2024-03-15,Dừa trái,Thực phẩm,Phải chi (Must have),24000,4.0,0,8,2,0
2024-03-16,Nước,Thực phẩm,Phải chi (Must have),65000,5.0,1,8,2,2
2024-03-16,Gửi xe wall street,Đi lại,Phát sinh (Nice to have),4000,5.0,1,10,1,2
2024-03-17,Đi chợ,Thực phẩm,Phải chi (Must have),157000,6.0,1,8,2,2
2024-03-17,Cà phê aD,Cà phê,Phát sinh (Nice to have),165000,6.0,1,0,1,2
2024-03-17,Gas,Hoá đơn - Thanh toán định kì,Phải chi (Must have),438000,6.0,1,4,2,2
2024-03-18,Bún bò,Thực phẩm,Phát sinh (Nice to have),70000,0.0,0,8,1,1
2024-03-18,Cà phê shin,Cà phê,Lãng phí (Wasted),161000,0.0,0,0,0,1
2024-03-19,Bún + cà chua + giá đỗ,Thực phẩm,Phải chi (Must have),21000,1.0,0,8,2,0
2024-03-19,Cà phê Pasio,Cà phê,Phát sinh (Nice to have),50000,1.0,0,0,1,1
2024-03-17,Đi chợ,Thực phẩm,Phải chi (Must have),157000,6.0,1,8,2,2
2024-03-18,Bún bò,Thực phẩm,Phải chi (Must have),70000,0.0,0,8,2,0
2024-03-20,Bún đậu,Thực phẩm,Phát sinh (Nice to have),75000,2.0,0,8,1,1
2024-03-20,Nước,Thực phẩm,Phải chi (Must have),65000,2.0,0,8,2,0
2024-03-20,Rau + chuối,Thực phẩm,Phát sinh (Nice to have),50000,2.0,0,8,1,1
2024-03-21,Bánh tráng trộn,Thực phẩm,Lãng phí (Wasted),30000,3.0,0,8,0,1
2024-03-21,Để xe Lotte,Đi lại,Phát sinh (Nice to have),4000,3.0,0,10,1,1
2024-03-21,Trứng gà,Thực phẩm,Phát sinh (Nice to have),6000,3.0,0,8,1,1
2024-03-22,Ăn sáng,Thực phẩm,Phải chi (Must have),56000,4.0,0,8,2,0
2024-03-22,Bánh mì,Thực phẩm,Phát sinh (Nice to have),40000,4.0,0,8,1,1
2024-03-22,Cà phê Hummingbird,Cà phê,Phát sinh (Nice to have),160000,4.0,0,0,1,1
2024-03-22,Cà phê hạt Hummingbird,Cà phê,Phải chi (Must have),335000,4.0,0,0,2,0
2024-03-22,Thảm Yoga,Sức khoẻ,Phát sinh (Nice to have),325000,4.0,0,7,1,1
2024-03-22,Yến mạnh + hạt hướng dương,Thực phẩm,Phát sinh (Nice to have),322000,4.0,0,8,1,1
2024-03-22,Trái cây Aeon Mall,Thực phẩm,Phát sinh (Nice to have),265000,4.0,0,8,1,1
2024-03-23,Trứng + mì tôm,Thực phẩm,Phải chi (Must have),38000,5.0,1,8,2,2
2024-03-23,Đổ xăng,Đi lại,Phải chi (Must have),50000,5.0,1,10,2,2
2024-03-23,Chè,Thực phẩm,Phát sinh (Nice to have),40000,5.0,1,8,1,2
2024-03-24,Đi chợ,Thực phẩm,Phải chi (Must have),286000,6.0,1,8,2,2
2024-03-25,Nước,Thực phẩm,Phải chi (Must have),65000,0.0,0,8,2,0
